"evento","inizio","sede","indirizzo","comune"
"“Il paesaggio sotto i nostri piedi.” La geologia di Monte Sannace (e della Murgia) for dummies_Copia_Copia_Copia_Copia","2024-05-18 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEA 2024  Dei, eroi del mito e persone comuni","2024-06-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Accessibilità cognitiva e sensoriale nel nuovo allestimento del patrimonio archeologico del Castello Svevo di Bari","2024-06-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"GEA 2024 - Colora eroi e miti","2024-06-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Caccia all’oggetto","2024-06-15 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Raccontarsi l'archeologia. Il parco per tutti","2024-06-15 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Racconto delle scoperte e nascita del Museo","2024-06-15 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Colora eroi e miti. Appuntamento domenica 16 giugno","2024-06-16 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Dei, eroi del mito e persone comuni. Appuntamento domenica 16 giugno","2024-06-16 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2024 - Raccontarsi l'archeologia. Il parco per tutti_Copia","2024-06-16 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Festa della Musica  2024 - Museo Jatta di Ruvo","2024-06-21 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Festa della musica 2024 al Castello Svevo di Bari","2024-06-21 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"I Miti di Monte Sannace – Laboratorio creativo per bambini dai 5 ai 12 anni","2024-07-31 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2024 al Parco archeologico di Monte Sannace","2024-08-15 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2023 al Castello svevo di Bari_Copia_Copia_Copia","2024-08-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia_Copia_Copia_Copia","2024-08-15 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2024 alla Galleria Devanna di Bitonto_Copia","2024-08-15 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia_Copia","2024-08-15 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Con lo sguardo al cielo al Parco di Monte Sannace - Seconda edizione","2024-08-17 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2023 al Castello svevo di Bari_Copia_Copia_Copia_Copia","2024-09-19 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2024 al Parco archeologico di Monte Sannace_Copia","2024-09-28 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2024 - Apertura straordinaria serale del Museo Civico di Bari","2024-09-28 00:00:00","Museo civico di Bari","Strada Sagges, 13 - Bari","Bari"
"GEP 2024 - Rutigliano fra arte, archeologia e artigianato","2024-09-28 00:00:00","Museo civico archeologico ""Grazia e Pietro Di Donna""","Piazza XX Settembre - Rutigliano","Rutigliano"
"GEP 2024 - Rutigliano: ti accoglie, ti meraviglia. Fra arte, archeologia e artigianato","2024-09-28 00:00:00","Museo fischietto in terracotta ""D. Divella""","Via Leopoldo Tarantini, 28 - Rutigliano","Rutigliano"
"GEP 2024 al Castello svevo di Bari - Apertura serale","2024-09-28 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Gep 2024 - Apertura straordinaria serale alla Galleria Nazionale della Puglia “Girolamo e Rosaria Devanna” di Bitonto","2024-09-28 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"LA VIA LATTEA Pastori e pellegrini in viaggio per la Puglia","2024-09-28 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia_Copia_Copia_Copia_Copia","2024-09-28 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia_Copia_Copia","2024-09-28 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEP 2023 al Castello svevo di Bari_Copia_Copia_Copia_Copia","2024-09-29 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"GEP 2024 - Passeggiata con Famiglie al Museo! Alla scoperta del nostro Patrimonio","2024-09-29 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Con lo sguardo al cielo al Parco di Monte Sannace - Seconda edizione_Copia","2024-10-13 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"F@mu 2024 - Pu-pazzi al Castello","2024-10-13 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"“Le pergamene miniate: il difficile equilibrio tra tutela e valorizzazione.”","2024-10-13 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Giornata Internazionale delle persone con disabilità alla Galleria ""Devanna"" di Bitonto","2024-12-20 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari","2025-01-01 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Capodanno 2025 al Museo Archeologico Nazionale di Altamura","2025-01-01 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Capodanno 2025 al Museo Archeologico Nazionale e Castello di Gioia del Colle","2025-01-01 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Capodanno 2025 alla Galleria Nazionale della Puglia ""Girolamo e Rosaria Devanna"" di Bitonto","2025-01-01 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari_Copia","2025-01-06 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2024 al Parco archeologico di Monte Sannace_Copia","2025-01-06 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"PASQUETTA 2022 NEL MUSEO NAZIONALE ARCHEOLOGICO DI ALTAMURA_Copia_Copia_Copia_Copia_Copia_Copia_Copia","2025-01-06 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia_Copia_Copia_Copia_Copia","2025-01-06 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2024 alla Galleria Devanna di Bitonto_Copia_Copia","2025-01-06 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia_Copia_Copia","2025-01-06 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2024 al Parco archeologico di Monte Sannace_Copia_Copia","2025-03-02 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Capodanno 2025 al Castello Svevo di Bari_Copia_Copia","2025-03-08 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2024 al Parco archeologico di Monte Sannace_Copia_Copia_Copia","2025-03-08 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Giornata internazionale della donna 2025 alla Galleria Devanna di Bitonto","2025-03-08 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia_Copia_Copia_Copia","2025-03-08 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Note in Galleria","2025-04-12 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari","2025-04-20 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"PASQUETTA 2022 NEL MUSEO NAZIONALE ARCHEOLOGICO DI ALTAMURA_Copia_Copia_Copia_Copia_Copia_Copia_Copia","2025-04-20 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Pasqua 2024 al Museo Nazionale Jatta di Ruvo_Copia","2025-04-20 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasqua 2024 alla Galleria Devanna di Bitonto_Copia","2025-04-20 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia_Copia_Copia","2025-04-20 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia","2025-04-20 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Capodanno 2025 al Castello Svevo di Bari_Copia","2025-04-21 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"PASQUETTA 2022 NEL MUSEO NAZIONALE ARCHEOLOGICO DI ALTAMURA_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","2025-04-21 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Pasquetta 2024 al Museo Nazionale Jatta di Ruvo_Copia","2025-04-21 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2024 alla Galleria Devanna di Bitonto_Copia","2025-04-21 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia_Copia_Copia","2025-04-21 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia_Copia_Copia","2025-04-21 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"25 aprile al Muse archeologico nazionale e Castello di Gioia del Colle_Copia","2025-04-25 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"25 aprile alla Galleria Nazionale della Puglia “Girolamo e Rosaria Devanna” di Bitonto_Copia","2025-04-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari_Copia","2025-04-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"PASQUETTA 2022 NEL MUSEO NAZIONALE ARCHEOLOGICO DI ALTAMURA_Copia_Copia_Copia_Copia_Copia_Copia","2025-04-25 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia_Copia_Copia_Copia","2025-04-25 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia_Copia","2025-04-25 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"1 maggio 2024 alla Galleria Nazionale della Puglia “Girolamo e Rosaria Devanna” di Bitonto_Copia","2025-05-01 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"1° maggio 2025 al Parco archeologico di Monte Sannace","2025-05-01 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"1° maggio al Museo Nazionale Archeologico di Altamura","2025-05-01 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Capodanno 2025 al Castello Svevo di Bari_Copia_Copia","2025-05-01 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Il 1 maggio al Museo Archeologico Nazionale e Castello di Gioia del Colle_Copia","2025-05-01 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta 2024 al Museo Nazionale Jatta di Ruvo_Copia_Copia","2025-05-01 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Paesaggio e territorio. I Musei della Puglia si raccontano, fra arte e archeologia. Ciclo di incontri tematici","2025-05-09 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari_Copia_Copia_Copia","2025-05-17 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Notte Europea dei Musei 2025 al Museo Archeologico Nazionale di Altamura","2025-05-17 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Notte Europea dei Musei 2025 al Museo Archeologico Nazionale e Castello di Gioia del Colle","2025-05-17 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Notte Europea dei Musei 2025 alla Galleria Nazionale della Puglia ""G. e R. Devanna"" di Bitonto","2025-05-17 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Notte Europea dei Musei 2025 al Museo nazionale Jatta di Ruvo di Puglia","2025-05-17 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"RiScoperte. Luci e ombre del collezionismo","2025-05-21 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"“Ho una tesi”  Ciclo di seminari.  Virginia Stasi, il terzo secolo a.C. a Monte Sannace: l’archeologia racconta un grande cambiamento.","2025-05-24 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"2 giugno 2025 al Museo Archeologico Nazionale e Castello di Gioia del Colle","2025-06-02 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"2 giugno 2025 al Museo nazionale Jatta di Ruvo di Puglia","2025-06-02 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"2 giugno 2025 alla Galleria Nazionale della Puglia ""G. e R. Devanna"" di Bitonto","2025-06-02 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Capodanno 2025 al Castello Svevo di Bari_Copia_Copia","2025-06-02 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"PASQUETTA 2022 NEL MUSEO NAZIONALE ARCHEOLOGICO DI ALTAMURA_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","2025-06-02 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"Pasquetta al Parco archeologico di Monte Sannace_Copia","2025-06-02 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEA 2025 - Ricostruiamo i vasi","2025-06-13 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2025 - Ricostruiamo i vasi_Copia","2025-06-13 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2025 al Museo nazionale Jatta di Ruvo di Puglia: ""Archeologia RiScoperta""","2025-06-13 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"GEP 2025 - Alla scoperta delle collezioni del Museo","2025-06-13 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEA 2025 - Visita guidata in acropoli - Monte Sannace","2025-06-14 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEA 2025 al Museo di Altamura: Tesori nascosti dai depositi del museo. Dalla ricerca scientifica alla valorizzazione","2025-06-14 00:00:00","Museo  archeologico nazionale di Altamura","via Santeramo - Altamura","Altamura"
"GEA 2025 - Inaugurazione dell'Archeoground al Parco archeologico di Monte Sannace","2025-06-15 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Festa della Musica 2025 al Castello svevo di Bari","2025-06-20 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Festa della Musica 2025 alla Galleria Nazionale della Puglia ""G. e R. Devanna"". Gli studenti del Conservatorio ""N. Piccinni"" di Bari in concerto","2025-06-21 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Festa della Musica 2025 al Museo nazionale Jatta di Ruvo di Puglia","2025-06-21 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"""Soul & t-shirt""","2025-07-06 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
